Ticker	Date	Price	Model	Actual	Forecast
AAPL	2016-10-13	close	MA	 116.98	 115.53
AAPL	2016-10-13	close	EWMA	 116.98	 117.05
AAPL	2016-10-13	close	ARIMA	 116.98	 117.15
AAPL	2016-10-13	close	KNN	 116.98	 111.00
AAPL	2016-10-13	close	SAX	 116.98	 106.93
AAPL	2016-10-13	close	LSTM	 116.98	 116.47
AAPL	2017-01-19	close	MA	 119.78	 119.61
AAPL	2017-01-19	close	EWMA	 119.78	 119.92
AAPL	2017-01-19	close	ARIMA	 119.78	 119.80
AAPL	2017-01-19	close	KNN	 119.78	 114.56
AAPL	2017-01-19	close	SAX	 119.78	 113.19
AAPL	2017-01-19	close	LSTM	 119.78	 117.49
AAPL	2017-04-26	close	MA	 143.68	 142.71
AAPL	2017-04-26	close	EWMA	 143.68	 144.16
AAPL	2017-04-26	close	ARIMA	 143.68	 114.38
AAPL	2017-04-26	close	KNN	 143.68	 140.61
AAPL	2017-04-26	close	SAX	 143.68	 135.37
AAPL	2017-04-26	close	LSTM	 143.68	 121.47
AAPL	2017-07-31	close	MA	 148.73	 151.67
AAPL	2017-07-31	close	EWMA	 148.73	 149.05
AAPL	2017-07-31	close	ARIMA	 148.73	 149.45
AAPL	2017-07-31	close	KNN	 148.73	 149.18
AAPL	2017-07-31	close	SAX	 148.73	 146.27
AAPL	2017-07-31	close	LSTM	 148.73	 126.57
AAPL	2017-11-01	close	MA	 166.89	 162.53
AAPL	2017-11-01	close	EWMA	 166.89	 170.19
AAPL	2017-11-01	close	ARIMA	 166.89	 168.97
AAPL	2017-11-01	close	KNN	 166.89	 157.26
AAPL	2017-11-01	close	SAX	 166.89	 158.60
AAPL	2017-11-01	close	LSTM	 166.89	 132.03
IBM	2013-05-15	close	MA	 203.32	 203.64
IBM	2013-05-15	close	EWMA	 203.32	 201.68
IBM	2013-05-15	close	ARIMA	 203.32	 203.35
IBM	2013-05-15	close	KNN	 203.32	 210.52
IBM	2013-05-15	close	SAX	 203.32	 210.15
IBM	2013-05-15	close	LSTM	 203.32	 208.33
IBM	2013-08-19	close	MA	 184.23	 187.23
IBM	2013-08-19	close	EWMA	 184.23	 185.45
IBM	2013-08-19	close	ARIMA	 184.23	 185.94
IBM	2013-08-19	close	KNN	 184.23	 203.32
IBM	2013-08-19	close	SAX	 184.23	 196.52
IBM	2013-08-19	close	LSTM	 184.23	  -1.00
IBM	2013-11-20	close	MA	 185.19	 183.73
IBM	2013-11-20	close	EWMA	 185.19	 186.74
IBM	2013-11-20	close	ARIMA	 185.19	 185.50
IBM	2013-11-20	close	KNN	 185.19	 185.06
IBM	2013-11-20	close	SAX	 185.19	 184.19
IBM	2013-11-20	close	LSTM	 185.19	 190.98
IBM	2014-02-28	close	MA	 185.17	 183.76
IBM	2014-02-28	close	EWMA	 185.17	 184.72
IBM	2014-02-28	close	ARIMA	 185.17	 185.41
IBM	2014-02-28	close	KNN	 185.17	 179.42
IBM	2014-02-28	close	SAX	 185.17	 179.91
IBM	2014-02-28	close	LSTM	 185.17	 187.01
IBM	2014-06-04	close	MA	 184.51	 184.25
IBM	2014-06-04	close	EWMA	 184.51	 183.62
IBM	2014-06-04	close	ARIMA	 184.51	 184.50
